"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2025-07-30 14:59:01","C","Agachamento com barra","3","50","9","","","kg",
"2025-07-30 14:59:01","C","Agachamento com barra","4","50","9","","","kg",
"2025-07-30 14:59:01","C","Leg press","1","200","10","","","kg",
"2025-07-30 14:59:01","C","Leg press","2","200","9","","","kg",
"2025-07-30 14:59:01","C","Leg press","3","200","9","","","kg",
"2025-07-30 14:59:01","C","Leg press","4","200","8","","","kg",
"2025-07-30 14:59:01","C","Extensão de pernas","1","55","11","","","kg",
"2025-07-30 14:59:01","C","Extensão de pernas","2","45","10","","","kg",
"2025-07-30 14:59:01","C","Extensão de pernas","3","45","9","","","kg",
"2025-07-30 14:59:01","C","Extensão de pernas","4","45","10","","","kg",
"2025-07-30 14:59:01","C","Flexão de pernas deitado","1","45","11","","","kg",
"2025-07-30 14:59:01","C","Flexão de pernas deitado","2","45","10","","","kg",
"2025-07-30 14:59:01","C","Flexão de pernas deitado","3","45","8","","","kg",
"2025-07-30 14:59:01","C","Flexão de pernas deitado","4","45","8","","","kg",
"2025-07-31 15:57:11","A","Supino reto com halteres","1","16.5","12","","","kg",
"2025-07-31 15:57:11","A","Supino reto com halteres","2","16.5","11","","","kg",
"2025-07-31 15:57:11","A","Supino reto com halteres","3","16.5","9","","","kg",
"2025-07-31 15:57:11","A","Supino reto com halteres","4","16.5","9","","","kg",
"2025-07-31 15:57:11","A","Supino inclinado com halteres","1","10","13","","","kg",
"2025-07-31 15:57:11","A","Supino inclinado com halteres","2","10","12","","","kg",
"2025-07-31 15:57:11","A","Supino inclinado com halteres","3","10","13","","","kg",
"2025-07-31 15:57:11","A","Supino inclinado com halteres","4","10","13","","","kg",
"2025-07-31 15:57:11","A","Crucifixo na máquina","1","7","16","","","kg",
"2025-07-31 15:57:11","A","Crucifixo na máquina","2","7","15","","","kg",
"2025-07-31 15:57:11","A","Crucifixo na máquina","3","8","13","","","kg",
"2025-07-31 15:57:11","A","Crucifixo na máquina","4","8","11","","","kg",
"2025-07-31 15:57:11","A","Elevação frontal com halteres","1","5","13","","","kg",
"2025-07-31 15:57:11","A","Elevação frontal com halteres","2","5","12","","","kg",
"2025-07-31 15:57:11","A","Elevação frontal com halteres","3","5","11","","","kg",
"2025-07-31 15:57:11","A","Elevação frontal com halteres","4","5","11","","","kg",
"2025-07-31 15:57:11","A","Mergulho de tríceps assistido","1","45","7","","","kg",
"2025-07-31 15:57:11","A","Mergulho de tríceps assistido","2","35","6","","","kg",
"2025-07-31 15:57:11","A","Mergulho de tríceps assistido","3","35","5","","","kg",
"2025-07-31 15:57:11","A","Mergulho de tríceps assistido","4","35","5","","","kg",
"2025-07-31 15:57:11","A","Tríceps pulley na polia alta","1","5","13","","","kg",
"2025-07-31 15:57:11","A","Tríceps pulley na polia alta","2","5","12","","","kg",
"2025-07-31 15:57:11","A","Tríceps pulley na polia alta","3","5","11","","","kg",
"2025-07-31 15:57:11","A","Tríceps pulley na polia alta","4","5","10","","","kg",
"2025-08-04 15:01:47","A","Supino reto com halteres","1","16.5","14","","","kg",
"2025-08-04 15:01:47","A","Supino reto com halteres","2","16.5","14","","","kg",
"2025-08-04 15:01:47","A","Supino reto com halteres","3","16.5","13","","","kg",
"2025-08-04 15:01:47","A","Supino reto com halteres","4","16.5","12","","","kg",
"2025-08-04 15:01:47","A","Supino inclinado com halteres","1","12.5","11","","","kg",
"2025-08-04 15:01:47","A","Supino inclinado com halteres","2","12.5","10","","","kg",
"2025-08-04 15:01:47","A","Supino inclinado com halteres","3","12.5","9","","","kg",
"2025-08-04 15:01:47","A","Supino inclinado com halteres","4","12.5","9","","","kg",
"2025-08-04 15:01:47","A","Crucifixo na máquina","1","8","12","","","kg",
"2025-08-04 15:01:47","A","Crucifixo na máquina","2","8","10","","","kg",
"2025-08-04 15:01:47","A","Crucifixo na máquina","3","7","10","","","kg",
"2025-08-04 15:01:47","A","Crucifixo na máquina","4","7","9","","","kg",
"2025-08-04 15:01:47","A","Elevação frontal com halteres","1","6","12","","","kg",
"2025-08-04 15:01:47","A","Elevação frontal com halteres","2","6","10","","","kg",
"2025-08-04 15:01:47","A","Elevação frontal com halteres","3","6","9","","","kg",
"2025-08-04 15:01:47","A","Elevação frontal com halteres","4","6","9","","","kg",
"2025-08-04 15:01:47","A","Mergulho de tríceps assistido","1","35","6","","","kg",
"2025-08-04 15:01:47","A","Mergulho de tríceps assistido","2","35","5","","","kg",
"2025-08-04 15:01:47","A","Mergulho de tríceps assistido","3","35","5","","","kg",
"2025-08-04 15:01:47","A","Mergulho de tríceps assistido","4","35","4","","","kg",
"2025-08-04 15:01:47","A","Tríceps pulley na polia alta","1","5","12","","","kg",
"2025-08-04 15:01:47","A","Tríceps pulley na polia alta","2","5","12","","","kg",
"2025-08-04 15:01:47","A","Tríceps pulley na polia alta","3","5","10","","","kg",
"2025-08-04 15:01:47","A","Tríceps pulley na polia alta","4","5","9","","","kg",
"2025-08-05 15:05:21","B","Puxada aberta frontal","1","42","14","","","kg",
"2025-08-05 15:05:21","B","Puxada aberta frontal","2","42","13","","","kg",
"2025-08-05 15:05:21","B","Puxada aberta frontal","3","42","12","","","kg",
"2025-08-05 15:05:21","B","Puxada aberta frontal","4","42","10","","","kg",
"2025-08-05 15:05:21","B","Remada na polia sentado","1","37","11","","","kg",
"2025-08-05 15:05:21","B","Remada na polia sentado","2","37","11","","","kg",
"2025-08-05 15:05:21","B","Remada na polia sentado","3","37","11","","","kg",
"2025-08-05 15:05:21","B","Remada na polia sentado","4","37","11","","","kg",
"2025-08-05 15:05:21","B","Puxada pela frente neutra","1","42","12","","","kg",
"2025-08-05 15:05:21","B","Puxada pela frente neutra","2","42","10","","","kg",
"2025-08-05 15:05:21","B","Puxada pela frente neutra","3","42","10","","","kg",
"2025-08-05 15:05:21","B","Puxada pela frente neutra","4","42","9","","","kg",
